fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,May,27,RAJASTHAN,2715,JODHPUR,2642781,311.924533118452,15,162,478.68384,432,20,24572,945636,192830,162216,32212,31145,92.44955,3520.804068,60774,68870,437741,904063,0,586740,1210589,25004,2949.670678,705166,69,21.61,56.34,99.34,NA
2024-2025,May,27,RAJASTHAN,2721,AJMER,4690645,236.95268614688,14,342,1021.383474851,484,3,17576,1794094,287647,114563,57008,23460,48.38318,5320.920579851,125104,132261,408724,731343,0,488642,871261,18060,4251.153925,1453358,20,34.64,41.92,99.77,NA
2024-2025,May,27,RAJASTHAN,2727,DUNGARPUR,4373861,241.639432845294,14,2460,3976.875277591,615,1,29754,2807629,78890,20559,2047182,516570,44.09855,10805.312619591,190418,221502,359268,712919,0,403504,791844,30369,6784.338792,2027934,30,12.32,52.9,99.81,NA
2024-2025,May,27,RAJASTHAN,2732,JHALAWAR,2503892,427.564279205395,15,140,431.66377,1858,0,24348,850485,179507,122982,162993,86723,61.81039,4129.84422,54818,71155,307729,569720,0,354897,647531,26206,3636.37006,494284,47,35.42,41.34,99.86,NA
2024-2025,May,27,RAJASTHAN,2706,ALWAR,892190,330.351234373252,12,87,257.385356507,514,26,9128,196618,67773,103212,29263,55751,33.25547,940.170816507,15513,17159,192905,356977,0,321284,580691,9642,649.52999,144153,33,7.55,62.57,98.99,NA
2024-2025,May,27,RAJASTHAN,2711,DAUSA,750267,318.897508913044,14,21,178.572227842,239,24,6626,138000,33095,48657,36079,69688,26.38835,645.039140142,9846,11007,121152,225288,0,214561,383973,6865,440.0785623,112615,53,22.06,60.57,99.24,NA
2024-2025,May,27,RAJASTHAN,2716,JAISALMER,815577,287.027078487626,19,146,2680.418794791,1090,1,17970,817734,142024,39346,51473,15322,25.56544,5053.102244791,42555,54735,143279,254350,0,162588,287376,19060,2347.11801,526556,32,26.42,53.55,99.22,NA
2024-2025,May,27,RAJASTHAN,2721,AJMER,4690645,238.495134781043,14,353,1021.383474851,499,3,17569,1830339,292616,114508,58359,23440,48.38318,5435.036119851,126452,133746,408670,730976,0,488592,870865,18068,4365.269465,1482919,20,34.49,42.03,99.78,NA
2024-2025,May,27,RAJASTHAN,2723,BUNDI,1596676,343.334853044025,13,94,342.935713248,715,2,8882,281683,60275,73787,80770,94492,26.99895,1337.050577348,20799,23425,161005,368811,0,242374,554263,9597,967.1159141,193855,48,30.08,18,99.62,NA
2024-2025,May,27,RAJASTHAN,2726,UDAIPUR,4140385,260.22559096944,15,296,479.6205576,11357,11,27389,1726316,53986,28531,1286889,546130,105.07193,5077.0085006,112065,125379,373786,766986,0,561748,1137145,38746,4492.316013,1212456,61,20.46,40.37,99.51,NA
2024-2025,May,27,RAJASTHAN,2729,CHITTORGARH,1765117,263.163092906993,14,123,598.896322008,492,1,7550,557676,114248,66766,134371,67407,46.13186,2112.625592008,38670,43816,172331,333483,0,284031,532398,8042,1467.59741,417158,47,25.96,56.29,99.52,NA
2024-2025,May,27,RAJASTHAN,2730,KOTA,2056366,216.019894616713,12,217,55.63758,138,1,7165,624767,175320,67730,94428,43033,26.90782,1432.166415,48111,52949,119739,243183,0,164524,326028,7303,1349.621015,469415,41,23.31,33.17,99.76,NA
2024-2025,May,27,RAJASTHAN,2732,JHALAWAR,2503892,417.339236251346,15,141,3895.520542514,1913,0,24303,874031,189426,122986,165395,86727,61.81039,7605.005232514,55516,71987,307744,569704,0,354903,647502,26216,3647.6743,510986,47,35.2,41.48,99.86,NA
2024-2025,May,27,RAJASTHAN,2706,ALWAR,892190,297.010245212653,13,106,257.385356507,523,25,9125,258755,91666,103315,36195,55758,33.25547,1059.169686507,19265,21218,193015,357219,0,321296,580714,9648,768.52886,192475,33,6.8,64.02,99.53,NA
2024-2025,May,27,RAJASTHAN,2709,KARAULI,834063,416.967116126957,16,31,1161.988181878,221,21,10921,186520,35988,74062,31991,80070,34.21365,1973.928896878,11076,15023,169730,308352,0,252009,453201,11142,777.727065,102024,41,28.33,57.86,99.43,NA
2024-2025,May,27,RAJASTHAN,2720,PALI,2122794,212.488226273159,13,160,189.2498384,1842,2,9458,812487,181352,136897,106780,56138,43.5068,1959.1958534,58521,61205,272316,597058,0,400513,863645,11300,1726.439215,685667,34,9.4,45.69,99.74,NA
2024-2025,May,27,RAJASTHAN,2726,UDAIPUR,4140385,222.840957682856,17,315,479.6205576,11397,11,27414,2163284,70213,28591,1624663,546620,105.07193,5405.3752706,124595,140363,374154,767723,2,561795,1137291,38811,4820.682783,1533061,61,21.09,41.09,99.57,NA
2024-2025,May,27,RAJASTHAN,2706,ALWAR,892190,269.456958332794,13,122,257.385356507,523,22,9128,309212,109940,103367,45173,55841,33.25547,1123.834076507,22416,24599,193170,357467,0,321307,580728,9651,833.19325,232960,33,6.41,64.63,99.72,NA
2024-2025,May,27,RAJASTHAN,2710,SAWAI MADHOPUR,886074,226.408992661599,14,33,58.78886,752,14,8421,152213,37960,78560,27842,83077,29.72672,433.1395,10484,12846,161944,339936,0,264729,556354,9173,344.62392,99306,70,32.55,42.03,99.56,NA
2024-2025,May,27,RAJASTHAN,2722,TONK,1270669,234.415183381333,23,145,157.81958,506,0,15187,681258,139505,90723,184354,68127,30.96396,1785.75573,29264,41535,190952,423317,1,294578,653937,15693,1596.97219,385225,78,63,17.97,99.54,NA
2024-2025,May,27,RAJASTHAN,2723,BUNDI,1596676,242.895923937921,14,136,342.935713248,763,2,8871,478425,100768,73908,137658,94641,26.99895,1532.009487348,32358,36050,161345,369546,0,242381,554277,9634,1162.0748241,333151,48,32.37,17.26,99.72,NA
2024-2025,May,27,RAJASTHAN,2733,PRATAPGARH,3707497,200.67020641386,25,824,1663.128101773,1593,1,35881,4073709,191371,22119,3077405,331980,28.31897,9866.167330773,157301,222887,245074,443004,4,277158,494641,37474,8174.720259,2291042,73,45.35,28.36,99.92,NA
2024-2025,May,27,RAJASTHAN,2705,JHUNJHUNU,625103,309.387806762026,13,33,400.01503982,131,12,5701,107453,49557,69795,2960,4665,26.70628,759.16779982,7864,8344,83702,164865,0,191806,361746,5832,332.44648,68377,50,26.08,56.68,99.8,NA
2024-2025,May,27,RAJASTHAN,2716,JAISALMER,815577,281.602992374403,19,147,2680.418794791,1417,1,17801,832984,143325,39346,52982,15322,25.56544,5051.692104791,42650,54870,143286,254367,0,162615,287431,19218,2345.70787,535935,32,25.99,54.37,99.15,NA
2024-2025,May,27,RAJASTHAN,2717,BARMER,9252176,343.473289555415,24,431,4280.15041188202,2858,4,104284,3499938,497725,177577,189773,70149,95.69899,16397.201582882,141695,219180,577354,1100304,0,677360,1286900,107142,12021.352181,1974700,92,74.41,9.4,99.59,NA
2024-2025,May,27,RAJASTHAN,2720,PALI,2122794,228.765746577383,13,151,189.2498384,1825,2,9473,748623,164622,136896,103200,56163,43.5068,1945.3496334,54764,57329,272284,597084,0,400485,863679,11298,1712.592995,631627,34,9.44,44.24,99.74,NA
2024-2025,May,27,RAJASTHAN,2721,AJMER,4690645,234.7639874519,14,357,1021.383474851,508,3,17581,1883313,298333,114502,60630,23439,48.38318,5491.107349851,128058,135447,408678,730912,0,488605,870803,18089,4421.340695,1526680,20,33.94,42.51,99.75,NA
2024-2025,May,27,RAJASTHAN,2726,UDAIPUR,4140385,252.200367816118,15,296,479.6205576,11393,11,27412,1785403,55271,28532,1334536,546220,105.07193,5087.4854206,113542,127150,373850,767116,0,561775,1137218,38805,4502.792933,1256464,61,20.35,40.71,99.52,NA
2024-2025,May,27,RAJASTHAN,2732,JHALAWAR,2503892,407.616034629923,15,141,3896.615502514,1984,0,24301,902110,197512,122991,173686,86741,61.81039,7635.570902514,56570,73250,307765,569742,0,354928,647538,26285,3677.14501,529618,47,34.53,41.66,99.84,NA
2024-2025,May,27,RAJASTHAN,2701,SRI GANGANAGAR,1089252,311.080629887199,13,120,235.10418,872,0,13167,513203,297400,256417,1394,1449,50.69844,1882.277745,39311,43525,257600,487769,0,318419,594246,14039,1596.475125,357567,48,66.85,3.18,98.87,NA
2024-2025,May,27,RAJASTHAN,2703,BIKANER,1862047,329.658681803835,20,151,6702.661636021,873,4,23215,1055063,352305,202632,8523,4319,37.7072,10218.475614021,51265,71408,295277,557862,0,405946,764868,24088,3478.106778,532612,44,35.42,28.36,99.35,NA
2024-2025,May,27,RAJASTHAN,2705,JHUNJHUNU,625103,282.151941511502,14,33,400.01503982,131,12,5704,121323,57025,69789,3429,4668,26.70628,769.03651982,8546,9050,83714,164871,0,191808,361730,5835,342.3152,77749,50,26.74,56.86,99.82,NA
2024-2025,May,27,RAJASTHAN,2709,KARAULI,834063,426.300885832343,16,28,1161.988181878,211,21,10931,176670,35229,74056,31879,80069,34.21365,1949.347606878,10485,14223,169699,308312,0,252000,453188,11142,753.145775,96455,41,28.18,57.48,99.38,NA
2024-2025,May,27,RAJASTHAN,2710,SAWAI MADHOPUR,886074,264.937528335809,14,29,58.78886,752,14,8421,127930,31424,78535,24750,83029,29.72672,427.45016,8920,11084,161862,339750,0,264724,556332,9173,338.93458,80484,70,32.51,38.77,99.55,NA
2024-2025,May,27,RAJASTHAN,2721,AJMER,4690645,232.828554719778,14,362,1021.383474851,520,3,17579,1925419,304796,114337,62228,23384,48.38318,5552.691884851,130069,137522,408583,730031,0,488296,869593,18099,4482.92523,1560961,20,33.67,42.83,99.66,NA
2024-2025,May,27,RAJASTHAN,2722,TONK,1270669,259.318295705858,21,136,157.81958,495,0,15177,598676,124674,90694,158600,68062,30.96396,1741.25994,27404,38918,190794,422963,1,294569,653909,15672,1552.4764,338264,78,63.34,17.84,99.53,NA
2024-2025,May,27,RAJASTHAN,2723,BUNDI,1596676,303.496207476453,13,112,342.935713248,743,2,8877,327642,71672,73810,92719,94500,26.99895,1364.315707348,23631,26451,161047,368883,0,242378,554251,9620,994.3810441,227693,48,32.42,17.05,99.64,NA
2024-2025,May,27,RAJASTHAN,2725,RAJSAMAND,2388717,244.898971405365,13,355,232.4340112,488,1,8415,743636,139520,64865,121130,60941,45.98492,2099.5758462,54134,56333,197512,364856,0,248029,450286,8903,1821.156915,629632,28,25.56,59.74,99.5,NA
2024-2025,May,27,RAJASTHAN,2729,CHITTORGARH,1765117,251.118837253903,14,133,598.896322008,512,2,7574,604844,123460,66805,142399,67425,46.13186,2163.905402008,40711,46172,172483,333736,0,284051,532415,8086,1518.87722,454028,47,25.25,55.49,99.35,NA
2024-2025,May,27,RAJASTHAN,2731,BARAN,1633711,278.914747898414,16,103,958.533156619,271,7,14312,506879,117900,80099,147766,112216,44.85872,2417.152161619,30718,39527,174014,392951,0,270875,602906,14583,1413.760285,315579,66,9.4,56.73,99.69,NA
2024-2025,April,27,RAJASTHAN,2704,CHURU,654238,559.395844620219,13,34,243.69873,180,17,15405,221496,58991,156888,1875,4792,35.94812,1518.68627,15929,19757,256596,512809,0,363902,716315,15585,1239.03942,129543,58,67.76,17.5,100,NA
2024-2025,April,27,RAJASTHAN,2706,ALWAR,346741,530.701714029231,10,44,110.33898,138,54,9465,71294,24139,103397,10421,56013,33.25547,521.95293,7097,7797,193217,358407,0,321721,582461,9603,378.35848,50257,32,7.91,68.45,100,NA
2024-2025,April,27,RAJASTHAN,2708,DHOLPUR,294183,509.026487964024,14,16,61.99498,104,9,5881,56705,22103,82619,5491,22463,19.48471,370.12316,4028,5143,116158,236250,0,206966,412520,5985,288.64347,33019,44,33.19,39.94,100,NA
2024-2025,April,27,RAJASTHAN,2712,JAIPUR,393625,377.017743969207,9,29,98.90765,284,90,9591,120548,29451,105620,19260,59118,64.52278,617.91778,12669,13124,244201,439922,0,447682,802936,9875,454.48735,104816,36,18.26,65.98,100,NA
2024-2025,April,27,RAJASTHAN,2717,BARMER,4658911,535.657940190203,18,206,892.8697098,1595,9,105233,1295139,191690,177434,73876,70069,95.69899,7926.0835898,70940,108175,576717,1099611,0,677232,1287195,106828,6937.51489,728957,92,73.54,8.91,100,NA
2024-2025,April,27,RAJASTHAN,2725,RAJSAMAND,988782,358.846489319181,9,153,185.28443,430,2,8412,225170,43061,64814,45194,60877,45.98492,1039.28399,24071,24913,197317,364417,0,247893,449949,8842,808.01464,187986,28,27.31,59.23,100,NA
2024-2025,April,27,RAJASTHAN,2727,DUNGARPUR,1569949,316.099868313302,11,919,332.07105,26,6,30303,875563,25898,20563,634860,516160,44.09855,3143.82309,74221,83995,358799,712540,0,403192,791716,30329,2767.65349,634293,29,13.96,47.27,100,NA
2024-2025,April,27,RAJASTHAN,2731,BARAN,625366,377.497709513024,12,46,64.61473,119,10,13936,176600,36007,79852,50304,111763,44.85872,776.134405,13796,17358,173386,391508,0,270593,602229,14055,666.660955,109753,65,7.65,63.31,100,NA
2024-2025,May,27,RAJASTHAN,2701,SRI GANGANAGAR,1089252,526.524679594288,11,51,235.10418,489,0,13486,221438,127020,256845,706,1448,50.69844,1451.72834,20103,22215,257628,488540,0,318586,595302,13975,1165.92572,154315,48,68.16,3.74,100,NA
2024-2025,May,27,RAJASTHAN,2708,DHOLPUR,763742,501.240840728313,13,16,61.99498,111,8,5874,58711,22347,82620,5527,22464,19.48471,375.7632,4202,5329,116159,236263,0,206977,412555,5985,294.28351,34310,44,32.87,41,100,NA
2024-2025,May,27,RAJASTHAN,2721,AJMER,4690645,306.902346018111,11,174,453.74746,293,4,17656,728511,120010,114663,22093,23512,48.38318,2737.94799,63544,67057,408331,732524,0,488871,873718,17949,2235.81735,588795,20,37.43,38.89,99.99,NA
2024-2025,May,27,RAJASTHAN,2730,KOTA,2056366,298.837549124509,10,93,55.63758,82,1,7217,200002,56475,67419,26287,42814,26.90782,680.226475,19593,21022,119162,241896,0,164398,325554,7299,597.681075,161553,41,14.26,45.58,100,NA
2024-2025,April,27,RAJASTHAN,2706,ALWAR,346741,560.779059581853,9,39,110.33898,103,58,9492,60505,21113,103391,6491,56036,33.25547,482.89382,6284,6827,193239,358509,0,321763,582594,9595,339.29937,42949,32,9.16,66.19,100,NA
2024-2025,April,27,RAJASTHAN,2715,JODHPUR,1046442,505.55621839376,11,83,478.49414,108,24,24686,350010,71822,162270,13036,31171,92.44955,2340.44101,29346,33345,437520,904674,0,586763,1211796,24794,1769.49732,257396,69,19.26,58.24,100,NA
2024-2025,April,27,RAJASTHAN,2718,JALORE,728157,359.954347968311,11,120,293.50483,608,10,13456,336272,97818,115042,32228,57912,32.44653,1536.377045,30019,32801,228262,448628,0,328865,643554,14064,1210.425685,271557,60,25.84,46.54,100,NA
2024-2025,April,27,RAJASTHAN,2723,BUNDI,382840,588.971408239323,11,34,29.5748296,373,3,9129,99280,19957,73859,28122,94589,26.99895,641.3045937,8438,9571,160786,369218,0,242429,555346,9502,584.7308141,64875,48,31.47,18.38,100,NA
2024-2025,April,27,RAJASTHAN,2726,UDAIPUR,1711470,322.674553185678,10,183,479.6205576,7719,17,27876,805480,25018,28488,595686,545023,105.07193,3183.7714786,74566,81692,373061,765518,0,561524,1136780,35595,2599.078991,571344,59,19.12,41.3,100,NA
2024-2025,April,27,RAJASTHAN,2728,BANSWARA,2670329,311.487479928677,14,602,179.06025,1261,22,38739,856944,31485,29232,705529,619951,74.37841,2922.71193,60922,81936,379641,759199,0,424358,838176,40000,2669.27327,499794,55,49.01,32.58,100,NA
2024-2025,April,27,RAJASTHAN,2732,JHALAWAR,975647,667.44262129023,13,74,431.66377,155,2,25040,320842,70793,122858,53209,86606,61.81039,2634.910415,24657,31083,307363,569014,0,354536,646868,25195,2141.436255,184391,46,36.55,42.08,100,NA
2024-2025,May,27,RAJASTHAN,2703,BIKANER,1862047,354.040373424901,19,136,6700.743496021,501,5,23578,978510,329774,202659,7982,4319,37.7072,10202.771154021,49134,68448,295245,557851,0,405793,764682,24079,3464.320458,493884,44,34.92,27.57,99.71,NA
2024-2025,May,27,RAJASTHAN,2705,JHUNJHUNU,625103,314.806917883592,13,31,77.05657,102,13,5721,100869,46220,69814,2813,4667,26.70628,421.30544,7546,8007,83715,164984,0,191810,361850,5823,317.54259,64570,50,26.1,57.31,99.88,NA
2024-2025,May,27,RAJASTHAN,2715,JODHPUR,2642781,327.27275693074,14,147,478.49414,395,20,24600,823938,169928,162235,27725,31152,92.44955,3267.468298,55065,62457,437741,904172,0,586680,1210611,24995,2696.524608,611345,69,21.43,56.33,99.57,NA
2024-2025,May,27,RAJASTHAN,2720,PALI,2122794,231.919279977216,12,130,189.2498384,1781,2,9502,572343,127798,136864,74965,56122,43.5068,1560.130403,46997,48947,272200,596920,0,400409,863542,11283,1327.3737646,482635,34,9.26,45.16,99.79,NA
2024-2025,May,27,RAJASTHAN,2725,RAJSAMAND,2388717,259.518377074119,12,285,227.8794312,435,1,8445,538361,101786,64848,93077,60914,45.98492,1671.0100812,44324,46096,197445,364674,0,247953,450081,8880,1397.14573,451552,28,26.08,60.18,99.63,NA
2024-2025,May,27,RAJASTHAN,2726,UDAIPUR,4140385,262.085858977278,15,294,479.6205576,11265,13,27434,1708363,51966,28522,1278633,546133,105.07193,5062.0703306,111502,124770,373786,766960,0,561581,1136929,38699,4477.377843,1198209,61,20.55,40.39,99.82,NA
2024-2025,May,27,RAJASTHAN,2708,DHOLPUR,763742,384.289471112501,16,30,530.312845243,204,3,5786,102328,38261,82638,14088,22478,19.48471,943.033285243,6322,8042,116204,236356,0,207017,412623,5990,393.23573,60347,44,38.27,39.78,99.76,NA
2024-2025,May,27,RAJASTHAN,2719,SIROHI,1647435,240.368671578276,12,48,104.20256,682,2,6831,310421,66312,70664,137412,94854,28.12759,878.484984,25038,26658,142066,288020,0,196331,390726,7513,746.154834,258553,46,36.08,48.34,99.94,NA
2024-2025,Aug,27,RAJASTHAN,2702,HANUMANGARH,3859470,211.05050652305,29,320,816.364866825,2123,0,10098,4277140,1962195,174581,13634,1311,226.5208,10069.811301525,143004,156039,210265,438713,22,288953,596990,12221,9026.9256347,2863402,28,53.69,8.21,99.86,NA
2024-2025,Aug,27,RAJASTHAN,2716,JAISALMER,2672931,236.822168708158,46,337,3802.601617354,2929,0,19911,4767594,809328,39958,301976,15577,113.70235,15207.023473354,101443,137845,145595,258948,72,164958,292077,22840,11290.719506,3168905,32,21.02,60.82,99.74,NA
2024-2025,Aug,27,RAJASTHAN,2719,SIROHI,4295883,201.997881562723,39,228,470.44884195,2765,0,6070,3393256,878408,71274,1081194,95475,75.35354,7400.10761795,85192,95169,143190,290314,406,196887,391809,8835,6854.305236,2865781,46,30.45,54.63,99.91,NA
2024-2025,Aug,27,RAJASTHAN,2722,TONK,3026759,216.459210787804,34,373,709.848010335,1822,0,14798,2762527,572305,92240,589326,69732,252.42833,6942.020482335,79206,109954,194604,431972,512,295301,655897,16620,5979.744142,1690762,78,51.05,26.08,99.87,NA
2024-2025,Aug,27,RAJASTHAN,2723,BUNDI,3152820,214.072682689809,29,356,478.605952548,2005,1,8696,2943035,588426,75320,783627,97249,81.00339,6859.84331954801,99244,118327,165490,378709,71,243307,555816,10701,6300.23397700001,2001493,45,37.47,18.6,99.98,NA
2024-2025,Aug,27,RAJASTHAN,2724,BHILWARA,9319512,207.363714159137,32,1021,5788.149478011,2717,1,33654,11153017,2012799,149942,1401302,92630,342.06425,29257.524020011,346520,393371,476375,847896,41,530507,935006,36371,23127.310292,8766079,39,28.94,38.33,99.97,NA
2024-2025,Aug,27,RAJASTHAN,2725,RAJSAMAND,6231741,207.171033001586,37,814,1268.955033964,1168,0,8845,4682684,904231,65377,717657,61405,142.78683,11112.906678964,124392,133982,199211,368292,119,249311,452909,10013,9701.164815,4018686,28,23.07,63.43,99.99,NA
2024-2025,July,27,RAJASTHAN,2715,JODHPUR,6525173,211.63538383878,26,459,1908.691856491,1163,9,25117,4485008,927310,163142,159469,31314,570.34636,11970.902112491,171033,196587,440182,908801,48,588402,1213324,26280,9491.863896,3371856,69,26.27,52.58,99.82,NA
2024-2025,July,27,RAJASTHAN,2720,PALI,5520090,182.564757261073,29,374,1082.95489975,2390,2,9808,4247444,982149,138178,514927,56666,187.53791,9024.82863815,142186,152464,274903,601860,22,401340,864327,12198,7754.3358284,3586601,35,12.71,47.82,99.96,NA
2024-2025,July,27,RAJASTHAN,2722,TONK,2763656,216.94419239178,34,357,705.384820335,1663,0,14774,2630050,542521,92161,564706,69674,244.31857,6655.444122335,77069,106782,194433,431557,326,295160,655577,16437,5705.740732,1613611,78,51.19,26.27,99.94,NA
2024-2025,July,27,RAJASTHAN,2731,BARAN,2765828,208.961916318367,31,367,1046.700801619,1424,5,17519,3394102,750744,81843,930457,115720,141.35065,8280.43203261901,107234,148563,178636,403460,248,272412,606313,18943,7092.38058100001,2075713,71,10.97,61.2,99.94,NA
2024-2025,July,27,RAJASTHAN,2704,CHURU,2941802,196.710298944331,33,282,3782.177153082,1421,0,15614,4696928,1595855,158502,48255,4863,78.76037,13100.278633082,138327,170280,261300,520376,24,364927,716496,17035,9239.34111,3028324,58,49.84,37.15,99.89,NA
2024-2025,July,27,RAJASTHAN,2708,DHOLPUR,1584549,237.002437811492,21,129,628.926691201,557,0,5675,637457,244418,83339,73810,22620,53.29063,2193.005951201,29463,35414,117166,238454,3,207288,413352,6232,1510.78863,401519,44,27.22,47.86,99.92,NA
2024-2025,July,27,RAJASTHAN,2713,SIKAR,1782006,241.293864416113,28,107,915.122607819,976,2,9486,1278382,491835,82701,63949,10504,64.55395,4064.333887619,44610,48777,121034,224049,5,297057,533487,10462,3084.6573298,970167,56,33.81,47.45,99.96,NA
2024-2025,July,27,RAJASTHAN,2717,BARMER,15325449,278.450185831139,43,879,11633.0575965761,31714,0,99434,12141399,1814203,178971,701608,70779,472.8547,45913.6603745761,278344,440725,581328,1108382,1317,681595,1295354,131148,33807.748078,6899666,91,75.79,9.54,99.96,NA
2024-2025,July,27,RAJASTHAN,2718,JALORE,3738594,208.961875102167,35,425,1786.708656864,2432,0,12288,3866232,1159053,116861,566181,58824,140.35992,10006.019459864,109694,122547,231246,455090,19,330599,647438,14720,8078.950883,3246474,59,29.28,50.73,99.96,NA
2024-2025,July,27,RAJASTHAN,2702,HANUMANGARH,2635651,215.320791012281,23,280,813.596666825,1940,0,9690,3066362,1407694,173999,9538,1313,186.79203,7602.903610525,129278,139453,209279,436732,4,288419,595981,11630,6602.5149137,2042089,29,50.39,8.66,99.84,NA
2024-2025,July,27,RAJASTHAN,2706,ALWAR,2010151,232.240557254427,21,289,652.1218036,1049,14,9167,1260968,448614,104858,188418,56567,86.72936,3667.3302736,59886,66522,195856,362567,3,322396,582977,10216,2928.47911,971451,33,7.92,61.6,100.07,NA
2024-2025,July,27,RAJASTHAN,2707,BHARATPUR,1972278,210.517225164956,23,466,511.012594822,414,0,6923,1495397,421995,106667,20915,8181,77.4666,3736.547464422,64304,76166,176873,384774,1,378216,794490,7337,3148.0682696,1023113,42,12.29,47.61,99.87,NA
2024-2025,July,27,RAJASTHAN,2708,DHOLPUR,1584549,237.927872659768,21,129,628.926691201,556,0,5667,632950,242627,83323,73810,22620,53.29063,2188.181791201,29341,35241,117143,238399,3,207282,413336,6223,1505.96447,398852,44,27.16,48.22,99.92,NA
2024-2025,July,27,RAJASTHAN,2709,KARAULI,2942244,237.68354937493,25,202,2068.259068621,613,6,10713,967252,240259,75091,220951,80879,113.51598,4480.773933621,37447,50391,171735,311915,4,252808,454362,11326,2298.998885,566977,42,28.16,55.83,100.98,NA
2024-2025,July,27,RAJASTHAN,2716,JAISALMER,2179631,238.63589494078,42,317,3797.911427354,2801,0,19545,4100316,704043,39845,256824,15517,103.53465,13686.271859354,96528,129849,145149,258082,50,164464,291116,22346,9784.825782,2737970,31,21.19,60.69,99.83,NA
2024-2025,July,27,RAJASTHAN,2722,TONK,2763656,216.813548770953,34,356,705.384820335,1663,0,14773,2621950,540940,92155,564310,69663,244.31857,6634.446232335,76980,106652,194410,431504,323,295157,655568,16436,5684.742842,1607691,78,51.35,26.39,99.94,NA
2024-2025,July,27,RAJASTHAN,2730,KOTA,3305823,202.131324811229,36,447,234.592978408,860,1,7011,3298168,917295,68756,585180,43946,79.98115,6981.204801308,91312,109723,121895,247569,21,165453,328141,7871,6666.6306729,2325671,40,28.88,28.48,99.96,NA
2024-2025,Aug,27,RAJASTHAN,2701,SRI GANGANAGAR,3721242,207.643640823019,21,488,990.147177736,2458,0,13614,3446869,2006260,258309,8285,1473,93.51282,8240.864283736,159292,177367,259719,491865,3,320863,599068,16072,7157.204286,2363144,44,67.43,4.13,100.02,NA
2024-2025,Aug,27,RAJASTHAN,2706,ALWAR,2287641,232.028900505266,21,296,657.3270336,1150,13,9211,1293576,458487,104907,193356,56584,86.72936,3745.5265636,61087,67979,195969,362810,3,322454,583118,10361,3001.47017,995459,33,8.11,61.52,100.08,NA
2024-2025,Aug,27,RAJASTHAN,2707,BHARATPUR,2131411,210.96396237908,23,468,511.012594822,414,0,7007,1520218,428254,106705,21388,8187,77.4666,3795.591324422,64764,76821,176951,384957,1,378257,794586,7421,3207.1121296,1038605,41,12.41,47.45,99.91,NA
2024-2025,Aug,27,RAJASTHAN,2710,SAWAI MADHOPUR,2238083,198.599968229196,23,170,448.589609021,1804,4,8025,1076460,259822,79719,242039,84463,95.78547,2682.224297021,46114,57715,164699,346040,27,265224,557537,9829,2137.849218,734585,71,30.78,50.76,99.93,NA
2024-2025,Aug,27,RAJASTHAN,2712,JAIPUR,2663971,206.208229817168,24,224,629.806634152,2066,16,8148,1994455,504759,106462,279396,60075,157.47462,4900.011604152,81650,85883,246980,444140,9,448366,803371,10214,4112.73035,1773696,36,24.16,59.58,99.97,NA
2024-2025,Aug,27,RAJASTHAN,2722,TONK,3026759,216.914610417804,34,362,708.324420335,1707,0,14777,2648658,546296,92167,569655,69676,244.31857,6697.969172335,77519,107334,194440,431578,337,295209,655678,16484,5745.326182,1625424,78,51.3,26.28,99.94,NA
2024-2025,Aug,27,RAJASTHAN,2725,RAJSAMAND,6231741,210.63019972,34,784,1268.955033964,1111,0,8729,4177148,806635,65310,631747,61355,120.98641,10188.276618964,119567,128388,198974,367839,59,249204,452674,9840,8798.335175,3584813,29,22.74,63.63,99.96,NA
2024-2025,Aug,27,RAJASTHAN,2727,DUNGARPUR,9487361,217.002671425145,46,5156,4721.862578691,3015,0,30443,14792404,392533,20790,10994378,522179,228.11155,37049.885976691,314903,411583,362895,720304,4488,407130,799176,33458,32099.911848,10633649,29,13.34,54.67,99.97,NA
2024-2025,Aug,27,RAJASTHAN,2729,CHITTORGARH,3787310,213.638772551185,36,312,864.432140308,1005,0,8030,3564336,742680,68743,802224,68768,110.50579,8589.741610308,98570,119232,177299,343322,39,285335,535106,9035,7614.80368,2721634,43,26.15,55.67,99.94,NA
2024-2025,Aug,27,RAJASTHAN,2730,KOTA,3365207,202.423254192432,36,447,234.592978408,882,1,7008,3306255,918868,68754,586567,43943,79.98115,7007.203091308,91365,109834,121913,247595,25,165523,328255,7890,6692.6289629,2329698,40,28.87,28.38,99.97,NA
